%time,field.t,field.cs1.x,field.cs1.y,field.cs1.theta,field.cs1.speed,field.cs1.acceleration,field.cs1.id,field.cs2.x,field.cs2.y,field.cs2.theta,field.cs2.speed,field.cs2.acceleration,field.cs2.id
1523727914437423944,0.0,-76.9432754517,-3.5,0.000135882277391,13.8888893127,7.0,1,-3.5,76.9432373047,4.7125248909,13.8888893127,7.0,2
1523727914537617921,8.39233398438e-05,-75.5516586304,-3.49981093407,0.0348280146718,13.8888893127,7.0,1,-3.49981093407,75.5516204834,4.74721717834,13.8888893127,7.0,2
1523727914638823032,0.100280046463,-74.1624221802,-3.45140695572,0.0152205862105,13.8888893127,7.0,1,-3.45140695572,74.1623840332,4.72762966156,13.8888893127,7.0,2
1523727914739125013,0.200366020203,-72.770149231,-3.43021416664,0.0413274466991,13.8888893127,7.0,1,-3.43018603325,72.770111084,4.75370597839,13.8888893127,7.0,2
1523727914837474107,0.300621032715,-71.3865432739,-3.37300038338,0.011237080209,13.8888893127,7.0,1,-3.37298679352,71.386505127,4.7236289978,13.8888893127,7.0,2
1523727914937462091,0.400326013565,-69.9987030029,-3.35740447044,0.0367342978716,13.8888893127,7.0,1,-3.35738682747,69.9986572266,4.74911546707,13.8888893127,7.0,2
1523727915039052963,0.500257015228,-68.6080551147,-3.30629706383,0.00121609168127,13.8888893127,7.0,1,-3.30629038811,68.6080169678,4.71364116669,13.8888893127,7.0,2
1523727915139170885,0.600450992584,-67.2183761597,-3.30460715294,0.0302382484078,13.8888893127,7.0,1,-3.30455064774,67.2183380127,4.74262046814,13.8888893127,7.0,2
1523727915238032102,0.700507879257,-65.831817627,-3.26266717911,-0.00881471391767,13.8888893127,7.0,1,-3.26261997223,65.83177948,4.70358657837,13.8888893127,7.0,2
1523727915338331937,0.800385951996,-64.443687439,-3.27490353584,0.0257847774774,13.8888893127,7.0,1,-3.27483892441,64.443649292,4.73815250397,13.8888893127,7.0,2
1523727915439294099,0.900335073471,-63.0540657043,-3.23906445503,-0.0167835112661,13.8888893127,7.0,1,-3.2390294075,63.0540275574,4.69562149048,13.8888893127,7.0,2
1523727915538655996,1.00042104721,-61.663318634,-3.26240825653,0.0242529381067,13.8888893127,7.0,1,-3.26235103607,61.6632766724,4.7366104126,13.8888893127,7.0,2
1523727915638720035,1.10056900978,-60.2762718201,-3.22876167297,-0.0227338559926,13.8888893127,7.0,1,-3.22874808311,60.2762260437,4.68966913223,13.8888893127,7.0,2
1523727915737983942,1.20046591759,-58.8889465332,-3.26030635834,0.0253517627716,13.8888893127,7.0,1,-3.26027321815,58.8889045715,4.73771762848,13.8888893127,7.0,2
1523727915838290929,1.30037903786,-57.5007133484,-3.22510457039,-0.0274574812502,13.8888893127,7.0,1,-3.2251033783,57.5006713867,4.68496179581,13.8888893127,7.0,2
1523727915938541889,1.40036392212,-56.1119346619,-3.26324677467,0.0283500030637,13.8888893127,7.0,1,-3.26320338249,56.1118888855,4.74070692062,13.8888893127,7.0,2
1523727916037662982,1.50039386749,-54.7232513428,-3.22386693954,-0.0319485999644,13.8888893127,7.0,1,-3.22386813164,54.7232055664,4.68045425415,13.8888893127,7.0,2
1523727916138694047,1.60041904449,-53.3361434937,-3.26819825172,0.0327908881009,13.8888893127,7.0,1,-3.26818037033,53.3360939026,4.74513196945,13.8888893127,7.0,2
1523727916238641977,1.70034193993,-51.9459457397,-3.22259616852,-0.036879491061,13.8888893127,7.0,1,-3.22264480591,51.9458961487,4.67554569244,13.8888893127,7.0,2
1523727916337937116,1.8004899025,-50.5581703186,-3.27379989624,0.0386447869241,13.8888893127,7.0,1,-3.27379798889,50.5581169128,4.75100278854,13.8888893127,7.0,2
1523727916437454938,1.9004778862,-49.1730766296,-3.22024679184,-0.0429655984044,13.8888893127,7.0,1,-3.22028779984,49.1730232239,4.66946315765,13.8888893127,7.0,2
1523727916537750959,2.00027894974,-47.7849845886,-3.27992367744,0.0461336895823,13.8888893127,7.0,1,-3.27990984917,47.7849311829,4.75847625732,13.8888893127,7.0,2
1523727916638403892,2.1003139019,-46.3964347839,-3.21581935883,-0.0511054955423,13.8888893127,7.0,1,-3.21586942673,46.3963775635,4.66135406494,13.8888893127,7.0,2
1523727916738686084,2.20039606094,-45.0075454712,-3.28686094284,0.0561255402863,13.8888893127,7.0,1,-3.28681325912,45.0074806213,4.76843261719,13.8888893127,7.0,2
1523727916838084936,2.30052685738,-43.6225204468,-3.20904397964,-0.0627713724971,13.8888893127,7.0,1,-3.20911002159,43.6224517822,4.64969491959,13.8888893127,7.0,2
1523727916938819885,2.40040588379,-42.2362709045,-3.29617547989,0.0707477703691,13.8888893127,7.0,1,-3.29613375664,42.2361946106,4.78299713135,13.8888893127,7.0,2
1523727917038706064,2.50041294098,-40.850605011,-3.19797897339,-0.0813671797514,13.8888893127,7.0,1,-3.1981306076,40.8505134583,4.63118982315,13.8888893127,7.0,2
1523727917139477968,2.60043096542,-39.4622268677,-3.31119728088,0.0810229480267,13.8888893127,7.0,1,-3.31111550331,39.4621162415,4.79358005524,13.8888893127,7.0,2
1523727917238905906,2.70072603226,-38.0812034607,-3.1990571022,-0.0805024728179,13.8888893127,7.0,1,-3.19874310493,38.081111908,4.63205480576,13.8888893127,7.0,2
1523727917337783098,2.80048704147,-36.6976966858,-3.3106739521,0.0813062936068,13.8888893127,7.0,1,-3.3101272583,36.6975898743,4.79386329651,13.8888893127,7.0,2
1523727917438566923,2.90042304993,-35.314491272,-3.19796204567,-0.0804781541228,13.8888893127,7.0,1,-3.19718265533,35.3143997192,4.63207912445,13.8888893127,7.0,2
1523727917538921117,3.00034403801,-33.927898407,-3.30979418755,0.0816915556788,13.8888893127,7.0,1,-3.30878138542,33.9277877808,4.79424858093,13.8888893127,7.0,2
1523727917638119935,3.10050296783,-32.5439453125,-3.19648480415,-0.0801851600409,13.8888893127,7.0,1,-3.1952393055,32.5438537598,4.63237190247,13.8888893127,7.0,2
